Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine
KIA,SONET,4x2,USD,"US$ 16,900",https://cde.neoauto.pe/autos_usados/360x240/701904/701904_8749903.webp,2024,2000,Gasolina,Mecánica,"Lima, Lima",Rojo Carmesí,,Asientos de cuero,"1,500 cc"
HYUNDAI,TUCSON,4x2,USD,"US$ 24,000",https://cde.neoauto.pe/autos_usados/360x240/179908/179908_7093802.webp,2023,9400,Gas GLP,Automática - Secuencial,"Lima, Lima",Plata,4,tela,"2,000 cc"
MAZDA,CX-5,4x4,USD,"US$ 34,900",https://cde.neoauto.pe/autos_usados/360x240/663165/663165_5520031.webp,2023,15570,Gasolina,Automática - Secuencial,"Lima, Lima",Rojo,4,tela,"2,000 cc"
HYUNDAI,I20 HB,,USD,"US$ 18,000",https://cde.neoauto.pe/autos_usados/360x240/337014/337014_6462729.webp,2022,25800,Gasolina,Automática,"Lima, Lima",Blanco,,tela,
GEELY,GX3,,USD,"US$ 9,900",https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7850841.webp,2020,44500,Gas GLP,Mecánica,"Lima, Lima",Gris Oscuro,,tela,
CITROEN,C5 AIRCROSS,4x2,USD,"US$ 19,000",https://cde.neoauto.pe/autos_usados/360x240/155466/155466_3459791.webp,2020,25257,Gasolina,Automática,"Lima, Lima",,,tela,"1,600 cc"
SUZUKI,BALENO,4x2,USD,"US$ 13,500",https://cde.neoauto.pe/autos_usados/360x240/155466/155466_1220476.webp,2022,21598,Gasolina,Automática,"Lima, Lima",Azul,,Asientos de cuero,"1,400 cc"
TOYOTA,COROLLA,4x2,USD,"US$ 16,000",https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5772964.webp,2018,43029,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,4,tela,"1,800 cc"
TOYOTA,COROLLA CROSS,4x2,USD,"US$ 23,000",https://cde.neoauto.pe/autos_usados/360x240/650434/650434_2770961.webp,2023,15063,Gasolina,Automática - Secuencial,"Lima, Lima",Plata Perla,4,tela,"2,000 cc"
TOYOTA,RAIZE,4x2,USD,"US$ 16,400",https://cde.neoauto.pe/autos_usados/360x240/650434/650434_3510542.webp,2023,10780,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,3,tela,"1,200 cc"
TOYOTA,RUSH,4x2,USD,"US$ 20,500",https://cde.neoauto.pe/autos_usados/360x240/650434/650434_8178531.webp,2022,40437,Gasolina,Mecánica,"Lima, Lima",Blanco,4,tela,"1,500 cc"
TOYOTA,RUSH,4x2,USD,"US$ 17,500",https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5576929.webp,2021,51000,Gasolina,Automática,"Lima, Lima",Guinda,,tela,"1,500 cc"
TOYOTA,RUSH,4x2,USD,"US$ 17,800",https://cde.neoauto.pe/autos_usados/360x240/650434/650434_6421880.webp,2022,62440,Gasolina,Automática,"Lima, Lima",Plata,4,tela,"1,500 cc"
HYUNDAI,CRETA,,USD,"US$ 18,100",https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7883548.webp,2023,38383,Gas GLP,Mecánica,"Lima, Lima",Blanco,,tela,
KIA,SELTOS,,USD,"US$ 19,500",https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7548817.webp,2023,7720,Gasolina,Automática,"Lima, Lima",,,tela,
GEELY,GX3,,USD,"US$ 11,800",https://cde.neoauto.pe/autos_usados/360x240/337014/337014_4061765.webp,2023,18000,Gas GLP,Automática,"Lima, Lima",Rojo,,tela,
